0, 0.1150405928, -0.139435783, 14.33828068
0.01, 0.1150405833, -0.1394358304, 14.33828068
0.02, 0.1150405168, -0.1394361611, 14.33828073
0.03, 0.1150403366, -0.1394370569, 14.33828086
0.04, 0.1150399864, -0.1394387981, 14.3382811
0.05, 0.1150394101, -0.1394416631, 14.3382815
0.06, 0.1150385521, -0.1394459284, 14.33828209
0.07, 0.1150373571, -0.1394518693, 14.33828292
0.08, 0.1150357701, -0.139459759, 14.33828403
0.09, 0.1150337364, -0.1394698692, 14.33828544
0.1, 0.1150312018, -0.1394824699, 14.3382872
0.11, 0.1150281122, -0.1394978294, 14.33828934
0.12, 0.1150244141, -0.1395162144, 14.33829191
0.13, 0.1150200541, -0.1395378898, 14.33829493
0.14, 0.1150149793, -0.139563119, 14.33829846
0.15, 0.115009137, -0.1395921635, 14.33830251
0.16, 0.1150024749, -0.1396252835, 14.33830714
0.17, 0.1149949411, -0.1396627371, 14.33831236
0.18, 0.114986484, -0.1397047812, 14.33831823
0.19, 0.1149770522, -0.1397516706, 14.33832478
0.2, 0.1149665947, -0.1398036589, 14.33833204
0.21, 0.114955061, -0.1398609977, 14.33834005
0.22, 0.1149424008, -0.1399239373, 14.33834883
0.23, 0.114928564, -0.1399927259, 14.33835844
0.24, 0.1149135009, -0.1400676106, 14.33836889
0.25, 0.1148971624, -0.1401488365, 14.33838023
0.26, 0.1148794993, -0.1402366471, 14.33839249
0.27, 0.114860463, -0.1403312846, 14.33840571
0.28, 0.1148400051, -0.1404329891, 14.33841991
0.29, 0.1148180777, -0.1405419996, 14.33843513
0.3, 0.114794633, -0.140658553, 14.3384514
0.31, 0.1147696237, -0.140782885, 14.33846876
0.32, 0.1147430027, -0.1409152293, 14.33848723
0.33, 0.1147147232, -0.1410558185, 14.33850686
0.34, 0.1146847389, -0.1412048831, 14.33852768
0.35, 0.1146530037, -0.1413626523, 14.3385497
0.36, 0.1146194718, -0.1415293536, 14.33857298
0.37, 0.1145840977, -0.141705213, 14.33859753
0.38, 0.1145468364, -0.1418904549, 14.33862339
0.39, 0.1145076429, -0.142085302, 14.3386506
0.4, 0.1144664729, -0.1422899756, 14.33867917
0.41, 0.1144232821, -0.1425046952, 14.33870915
0.42, 0.1143780267, -0.142729679, 14.33874056
0.43, 0.1143306631, -0.1429651435, 14.33877344
0.44, 0.1142811481, -0.1432113035, 14.33880781
0.45, 0.1142294387, -0.1434683725, 14.3388437
0.46, 0.1141754924, -0.1437365623, 14.33888114
0.47, 0.1141192669, -0.1440160831, 14.33892017
0.48, 0.1140607202, -0.1443071437, 14.33896081
0.49, 0.1139998105, -0.1446099513, 14.33900308
0.5, 0.1139364966, -0.1449247115, 14.33904703
0.51, 0.1138707374, -0.1452516283, 14.33909267
0.52, 0.1138024921, -0.1455909044, 14.33914004
0.53, 0.1137317203, -0.1459427407, 14.33918916
0.54, 0.1136583819, -0.1463073368, 14.33924007
0.55, 0.1135824371, -0.1466848907, 14.33929278
0.56, 0.1135038463, -0.1470755987, 14.33934733
0.57, 0.1134225703, -0.1474796558, 14.33940374
0.58, 0.1133385703, -0.1478972554, 14.33946205
0.59, 0.1132518076, -0.1483285895, 14.33952227
0.6, 0.1131622439, -0.1487738484, 14.33958444
0.61, 0.1130698413, -0.149233221, 14.33964857
0.62, 0.1129745619, -0.1497068947, 14.33971471
0.63, 0.1128763686, -0.1501950554, 14.33978286
0.64, 0.112775224, -0.1506978875, 14.33985307
0.65, 0.1126710916, -0.1512155738, 14.33992535
0.66, 0.1125639347, -0.1517482959, 14.33999972
0.67, 0.1124537172, -0.1522962337, 14.34007622
0.68, 0.1123404032, -0.1528595655, 14.34015488
0.69, 0.112223957, -0.1534384684, 14.3402357
0.7, 0.1121043435, -0.1540331179, 14.34031872
0.71, 0.1119815275, -0.154643688, 14.34040397
