0, -1.851917982, 16.05322838, 11.87710381
0.01, -1.851917972, 16.05322817, 11.87710384
0.02, -1.851917901, 16.05322671, 11.87710405
0.03, -1.851917709, 16.05322274, 11.87710464
0.04, -1.851917337, 16.05321503, 11.87710579
0.05, -1.851916723, 16.05320235, 11.87710768
0.06, -1.85191581, 16.05318347, 11.87711049
0.07, -1.851914538, 16.05315717, 11.8771144
0.08, -1.851912849, 16.05312225, 11.8771196
0.09, -1.851910685, 16.0530775, 11.87712626
0.1, -1.851907987, 16.05302172, 11.87713457
0.11, -1.851904699, 16.05295373, 11.87714469
0.12, -1.851900763, 16.05287236, 11.8771568
0.13, -1.851896123, 16.05277641, 11.87717108
0.14, -1.851890722, 16.05266474, 11.87718771
0.15, -1.851884504, 16.05253617, 11.87720684
0.16, -1.851877414, 16.05238957, 11.87722867
0.17, -1.851869396, 16.05222378, 11.87725335
0.18, -1.851860395, 16.05203768, 11.87728105
0.19, -1.851850357, 16.05183013, 11.87731194
0.2, -1.851839227, 16.0516, 11.8773462
0.21, -1.851826952, 16.0513462, 11.87738398
0.22, -1.851813478, 16.0510676, 11.87742545
0.23, -1.851798751, 16.05076311, 11.87747078
0.24, -1.85178272, 16.05043164, 11.87752012
0.25, -1.851765331, 16.0500721, 11.87757364
0.26, -1.851746532, 16.04968342, 11.8776315
0.27, -1.851726272, 16.04926451, 11.87769385
0.28, -1.851704499, 16.04881432, 11.87776087
0.29, -1.851681162, 16.0483318, 11.87783269
0.3, -1.851656211, 16.04781588, 11.87790949
0.31, -1.851629593, 16.04726554, 11.87799141
0.32, -1.851601261, 16.04667972, 11.87807862
0.33, -1.851571164, 16.04605742, 11.87817125
0.34, -1.851539252, 16.04539759, 11.87826947
0.35, -1.851505476, 16.04469924, 11.87837342
0.36, -1.851469789, 16.04396135, 11.87848326
0.37, -1.851432141, 16.04318292, 11.87859914
0.38, -1.851392484, 16.04236296, 11.87872119
0.39, -1.851350771, 16.04150049, 11.87884958
0.4, -1.851306954, 16.04059452, 11.87898444
0.41, -1.851260987, 16.03964408, 11.87912592
0.42, -1.851212822, 16.0386482, 11.87927416
0.43, -1.851162414, 16.03760594, 11.87942931
0.44, -1.851109716, 16.03651633, 11.8795915
0.45, -1.851054682, 16.03537844, 11.87976089
0.46, -1.850997268, 16.03419131, 11.8799376
0.47, -1.850937428, 16.03295404, 11.88012177
0.48, -1.850875117, 16.03166568, 11.88031355
0.49, -1.850810292, 16.03032533, 11.88051307
0.5, -1.850742908, 16.02893206, 11.88072047
0.51, -1.850672921, 16.02748499, 11.88093588
0.52, -1.850600289, 16.02598321, 11.88115943
0.53, -1.850524967, 16.02442584, 11.88139125
0.54, -1.850446914, 16.02281198, 11.88163148
0.55, -1.850366087, 16.02114077, 11.88188025
0.56, -1.850282444, 16.01941133, 11.88213769
0.57, -1.850195943, 16.0176228, 11.88240393
0.58, -1.850106543, 16.01577433, 11.88267908
0.59, -1.850014203, 16.01386506, 11.88296329
0.6, -1.849918882, 16.01189416, 11.88325667
0.61, -1.849820539, 16.00986078, 11.88355935
0.62, -1.849719134, 16.0077641, 11.88387146
0.63, -1.849614629, 16.0056033, 11.88419311
0.64, -1.849506982, 16.00337755, 11.88452443
0.65, -1.849396155, 16.00108605, 11.88486553
0.66, -1.84928211, 15.998728, 11.88521654
0.67, -1.849164807, 15.9963026, 11.88557758
0.68, -1.849044208, 15.99380905, 11.88594876
0.69, -1.848920276, 15.99124658, 11.8863302
0.7, -1.848792973, 15.98861441, 11.88672201
0.71, -1.848662262, 15.98591177, 11.88712432
0.72, -1.848528105, 15.9831379, 11.88753723
0.73, -1.848390467, 15.98029203, 11.88796086
0.74, -1.84824931, 15.97737342, 11.88839531
0.75, -1.848104599, 15.97438132, 11.8888407
0.76, -1.847956299, 15.97131499, 11.88929715
0.77, -1.847804373, 15.96817371, 11.88976475
0.78, -1.847648786, 15.96495674, 11.89024361
0.79, -1.847489505, 15.96166338, 11.89073385
0.8, -1.847326494, 15.9582929, 11.89123557
0.81, -1.847159719, 15.95484459, 11.89174887
0.82, -1.846989147, 15.95131777, 11.89227386
0.83, -1.846814744, 15.94771174, 11.89281064
0.84, -1.846636476, 15.94402581, 11.89335932
0.85, -1.846454312, 15.9402593, 11.89391999
0.86, -1.846268217, 15.93641153, 11.89449275
0.87, -1.84607816, 15.93248183, 11.89507771
0.88, -1.845884109, 15.92846956, 11.89567497
0.89, -1.845686032, 15.92437404, 11.89628461
0.9, -1.845483898, 15.92019463, 11.89690674
0.91, -1.845277675, 15.91593068, 11.89754146
0.92, -1.845067333, 15.91158157, 11.89818885
0.93, -1.844852842, 15.90714665, 11.89884902
0.94, -1.84463417, 15.90262531, 11.89952205
0.95, -1.844411289, 15.89801692, 11.90020804
0.96, -1.844184168, 15.89332087, 11.90090708
0.97, -1.843952778, 15.88853656, 11.90161925
0.98, -1.84371709, 15.88366338, 11.90234466
0.99, -1.843477076, 15.87870075, 11.90308338
1, -1.843232706, 15.87364807, 11.9038355
1.01, -1.842983954, 15.86850476, 11.90460112
1.02, -1.84273079, 15.86327024, 11.90538031
1.03, -1.842473188, 15.85794396, 11.90617316
1.04, -1.84221112, 15.85252533, 11.90697976
1.05, -1.841944559, 15.8470138, 11.90780019
1.06, -1.841673478, 15.84140883, 11.90863452
1.07, -1.841397851, 15.83570986, 11.90948285
1.08, -1.841117653, 15.82991636, 11.91034525
1.09, -1.840832856, 15.82402778, 11.9112218
1.1, -1.840543436, 15.81804362, 11.91211259
1.11, -1.840249367, 15.81196333, 11.91301768
